phone,name,scheduled_time,message
573184444400,Bot Coopsana,07:00,Hola
573156704037,Bot HUN,07:00,Hola
573167668245,Bot Cedimed,07:00,Hola
573229471699,Bot Messer,07:00,Hola
573132654242,Bot Maple,07:00,Hola
573162413544,Bot Clinicos Ips,07:00,Hola
573154704775,Bot Clinica de la mujer,07:00,Hola
573137826163,Bot Guadalupe,07:00,Hola
573124139143,Bot Organizacion Vid Salud Vid,07:00,Hola
573214989585,Bot Villavicencio,07:00,Hola
573224575712,Bot UPB,07:00,Hola
573184444400,Bot Coopsana,09:00,Hola
573156704037,Bot HUN,09:00,Hola
573167668245,Bot Cedimed,09:00,Hola
573229471699,Bot Messer,09:00,Hola
573132654242,Bot Maple,09:00,Hola
573162413544,Bot Clinicos Ips,09:00,Hola
573154704775,Bot Clinica de la mujer,09:00,Hola
573137826163,Bot Guadalupe,09:00,Hola
573124139143,Bot Organizacion Vid Salud Vid,09:00,Hola
573214989585,Bot Villavicencio,09:00,Hola
573224575712,Bot UPB,09:00,Hola
573184444400,Bot Coopsana,11:00,Hola
573156704037,Bot HUN,11:00,Hola
573167668245,Bot Cedimed,11:00,Hola
573229471699,Bot Messer,11:00,Hola
573132654242,Bot Maple,11:00,Hola
573162413544,Bot Clinicos Ips,11:00,Hola
573154704775,Bot Clinica de la mujer,11:00,Hola
573137826163,Bot Guadalupe,11:00,Hola
573124139143,Bot Organizacion Vid Salud Vid,11:00,Hola
573214989585,Bot Villavicencio,11:00,Hola
573224575712,Bot UPB,11:00,Hola
573184444400,Bot Coopsana,15:00,Hola
573156704037,Bot HUN,15:00,Hola
573167668245,Bot Cedimed,15:00,Hola
573229471699,Bot Messer,15:00,Hola
573132654242,Bot Maple,15:00,Hola
573162413544,Bot Clinicos Ips,15:00,Hola
573154704775,Bot Clinica de la mujer,15:00,Hola
573137826163,Bot Guadalupe,15:00,Hola
573124139143,Bot Organizacion Vid Salud Vid,15:00,Hola
573214989585,Bot Villavicencio,15:00,Hola
573224575712,Bot UPB,15:00,Hola
573184444400,Bot Coopsana,18:00,Hola
573156704037,Bot HUN,18:00,Hola
573167668245,Bot Cedimed,18:00,Hola
573229471699,Bot Messer,18:00,Hola
573132654242,Bot Maple,18:00,Hola
573162413544,Bot Clinicos Ips,18:00,Hola
573154704775,Bot Clinica de la mujer,18:00,Hola
573137826163,Bot Guadalupe,18:00,Hola
573124139143,Bot Organizacion Vid Salud Vid,18:00,Hola
573214989585,Bot Villavicencio,18:00,Hola
573224575712,Bot UPB,18:00,Hola
